PCName,PCType,Sex,Category,Age,Party
Jalna,GEN,M,GEN,56,BJP
Aurangabad,GEN,M,GEN,57,SHS
Dindori,ST,M,ST,57,BJP
Nashik,GEN,M,GEN,35,NCP
Palghar,ST,M,ST,55,BVA
Bhiwandi,GEN,M,GEN,51,INC
Kalyan,GEN,M,GEN,36,SHS
Thane,GEN,M,GEN,37,NCP
Mumbai North,GEN,M,GEN,44,INC
Mumbai North West,GEN,M,GEN,54,INC
Mumbai North East,GEN,M,GEN,40,NCP
Mumbai North central,GEN,F,GEN,42,INC
Mumbai South central,GEN,M,GEN,69,INC
Mumbai   South,GEN,M,GEN,33,INC
Raigad,GEN,M,GEN,58,SHS
Maval,GEN,M,GEN,66,SHS
Pune,GEN,M,GEN,64,INC
Baramati,GEN,F,GEN,39,NCP
Shirur,GEN,M,GEN,52,SHS
Ahmadnagar,GEN,M,GEN,59,BJP
Shirdi,SC,M,SC,59,SHS
Beed,GEN,M,GEN,59,BJP
Osmanabad,GEN,M,GEN,68,NCP
Latur,SC,M,SC,68,INC
Solapur,SC,M,SC,67,INC
Madha,GEN,M,GEN,68,NCP
Sangli,GEN,M,GEN,35,INC
Satara,GEN,M,GEN,43,NCP
Ratnagiri - sindhudurg,GEN,M,GEN,28,INC
Kolhapur,GEN,M,GEN,74,IND
Hatkanangle,GEN,M,GEN,41,SWP
Inner manipur,GEN,M,GEN,58,INC
Outer manipur,ST,M,ST,56,INC
Shillong,ST,M,ST,41,INC
Tura,ST,F,ST,28,NCP
MIZORAM,ST,M,ST,72,INC
Nagaland,ST,M,ST,65,NPF
Bargarh,GEN,M,GEN,35,INC
Sundargarh,ST,M,ST,67,INC
Sambalpur,GEN,M,GEN,51,INC
Keonjhar,ST,M,ST,38,BJD
Mayurbhanj,ST,M,ST,47,BJD
Balasore,GEN,M,GEN,58,INC
Bhadrak,SC,M,SC,68,BJD
Jajpur,SC,M,SC,52,BJD
Dhenkanal,GEN,M,GEN,53,BJD
Bolangir,GEN,M,GEN,34,BJD
Kalahandi,GEN,M,GEN,52,INC
Nabarangpur,ST,M,ST,33,INC
Kandhamal,GEN,M,GEN,71,BJD
Cuttack,GEN,M,GEN,51,BJD
Kendrapara,GEN,M,GEN,45,BJD
Jagatsinghpur,SC,M,SC,42,CPI
Puri,GEN,M,GEN,49,BJD
Bhubaneswar,GEN,M,GEN,66,BJD
Aska,GEN,M,GEN,65,BJD
Berhampur,GEN,M,GEN,42,BJD
Koraput,ST,M,ST,53,BJD
Gurdaspur,GEN,M,GEN,52,INC
Amritsar,GEN,M,GEN,45,BJP
Khadoor Sahib,GEN,M,GEN,65,SAD
Jalandhar,SC,M,SC,53,INC
Hoshiarpur,SC,F,SC,66,INC
Anandpur Sahib,GEN,M,GEN,33,INC
Ludhiana,GEN,M,GEN,44,INC
Fatehgarh Sahib,SC,M,SC,76,INC
Faridkot,SC,F,SC,60,SAD
Ferozpur,GEN,M,SC,46,SAD
Bathinda,GEN,F,GEN,42,SAD
Sangrur,GEN,M,GEN,37,INC
Patiala,GEN,F,GEN,64,INC
Ganganagar,SC,M,SC,53,INC
Bikaner,SC,M,SC,55,BJP
Churu,GEN,M,GEN,63,BJP
Jhunjhunu,GEN,M,GEN,81,INC
Sikar,GEN,M,GEN,66,INC
Jaipur Rural,GEN,M,GEN,40,INC
Jaipur,GEN,M,GEN,54,INC
Alwar,GEN,M,GEN,38,INC
BHARATPUR,SC,M,SC,62,INC
KARAULI-DHOLPUR,SC,M,SC,45,INC
Dausa,ST,M,ST,57,IND
TONK-SAWAI MADHOPUR,GEN,M,GEN,65,INC
Ajmer,GEN,M,GEN,31,INC
Nagaur,GEN,F,GEN,36,INC
Pali,GEN,M,GEN,59,INC
Jodhpur,GEN,F,GEN,65,INC
Barmer,GEN,M,GEN,38,INC
Jalore,GEN,M,GEN,32,BJP
Udaipur,ST,M,ST,48,INC
Banswara,ST,M,ST,55,INC
Chittorgarh,GEN,F,GEN,62,INC
Rajsamand,GEN,M,GEN,58,INC
Bhilwara,GEN,M,GEN,59,INC
Kota,GEN,M,GEN,44,INC
JHALAWAR-BARAN,GEN,M,GEN,38,BJP
Sikkim,GEN,M,GEN,54,SDF
Thiruvallur,SC,M,SC,57,ADMK
Chennai North,GEN,M,GEN,54,DMK
Chennai South,GEN,M,GEN,48,ADMK
Chennai central,GEN,M,GEN,42,DMK
Sriperumbudur,GEN,M,GEN,67,DMK
Kancheepuram,SC,M,SC,44,INC
Arakkonam,GEN,M,GEN,61,DMK
Vellore,GEN,M,GEN,49,DMK
Krishnagiri,GEN,M,GEN,51,DMK
Dharmapuri,GEN,M,GEN,45,DMK
Tiruvannamalai,GEN,M,GEN,73,DMK
Arani,GEN,M,GEN,68,INC
Viluppuram,SC,M,SC,58,ADMK
Kallakurichi,GEN,M,GEN,52,DMK
Salem,GEN,M,GEN,63,ADMK
Namakkal,GEN,M,GEN,45,DMK
Erode,GEN,M,GEN,61,MDMK
Tiruppur,GEN,M,GEN,51,ADMK
Nilgiris,SC,M,SC,45,DMK
Coimbatore,GEN,M,GEN,59,CPM
Pollachi,GEN,M,GEN,48,ADMK
Dindigul,GEN,M,GEN,75,INC
Karur,GEN,M,GEN,62,ADMK
Tiruchirappalli,GEN,M,GEN,37,ADMK
Cuddalore,GEN,M,GEN,56,INC
Mayiladuthurai,GEN,M,GEN,53,ADMK
Nagapattinam,SC,M,SC,47,DMK
Thanjavur,GEN,M,GEN,58,DMK
Sivaganga,GEN,M,GEN,63,INC
Madurai,GEN,M,GEN,58,DMK
Theni,GEN,M,GEN,58,INC
Virudhunagar,GEN,M,GEN,36,INC
Ramanathapuram,GEN,M,GEN,36,DMK
Thoothukkudi,GEN,M,GEN,39,DMK
Tenkasi,SC,M,SC,44,CPI
Tirunelveli,GEN,M,GEN,59,INC
Kanniyakumari,GEN,F,GEN,37,DMK
Tripura West,GEN,M,GEN,71,CPM
Tripura East,ST,M,ST,67,CPM
Saharanpur,GEN,M,GEN,53,BSP
Kairana,GEN,F,GEN,39,BSP
Muzaffarnagar,GEN,M,GEN,45,BSP
Bijnor,GEN,M,GEN,45,RLD
Nagina,SC,M,SC,36,SP
Moradabad,GEN,M,GEN,46,INC
Rampur,GEN,F,GEN,45,SP
Sambhal,GEN,M,GEN,76,BSP
